University_name,Region,Founded_year,Number_of_years,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude,Website
University of Oxford,South East England,1096,926,The Lord is my light,1,1,94.1,6.5,21770,19888,42.00%,86.50%,20835,"over-5,000",Public,Trimesters,Urban,11500,51.7548,-1.2544,www.ox.ac.uk
University of Cambridge,East of England,1209,813,"From here, light and sacred draughts",2,5,93.3,6.5,21750,23187,39.00%,85.50%,19681,"over-5,000",Public,Trimesters,Urban,12000,52.2054,0.1132,www.cam.ac.uk
Imperial College London,London,1907,115,Knowledge is the adornment and safeguard of the Empire,3,12,86.6,6.5,23500,29900,59.00%,77.90%,17717,"4,000-4,499",Public,Continuous,Urban,10700,51.4988,-0.1749,www.ic.ac.uk
University College London,London,1826,196,Let all come who by merit most deserve reward,4,18,88,6.5,15660,17250,57.00%,75.40%,35760,"over-5,000",Public,Other,Urban,11500,51.5246,-0.134,www.ucl.ac.uk
London School of Economics and Political Science,London,1895,127,To know the causes of things,5,27,76.3,6.5,17040,24500,72.00%,68.50%,10911,"1,500-1,999",Public,Semesters,Urban,12000,51.5144,-0.1165,www.lse.ac.uk
University of Edinburgh,Scotland,1583,439,Seek and You Shall Find,6,30,85,5.5,15850,16500,44.00%,72.60%,31631,"over-5,000",Public,Semesters,Urban,8500,55.9445,-3.1892,www.ed.ac.uk
King's College London,London,1829,193,With Holiness and Wisdom,7,35,85.5,5.5,15600,17040,49.00%,72.50%,28248,"over-5,000",Public,Semesters,Urban,10229,51.5115,-0.116,kcl.ac.uk
University of Manchester,North West England,1824,198,"Knowledge, wisdom, humanity",8,50,83.9,5.5,14500,14500,43.00%,77.20%,36543,"over-5,000",Public,Semesters,Urban,9800,53.4668,-2.2339,www.manchester.ac.uk
University of Warwick,West Midlands,1965,57,Mind Moves matter,9,78,79.3,5.5,15820,24500,43.00%,79.20%,22713,"2,500-2,999",Public,Trimesters,Suburban,9580,52.3793,-1.5615,www.warwick.ac.uk
University of Glasgow,Scotland,1451,571,"The Way, the Truth and the Life",10,86,80.7,5.5,14500,14500,40.00%,78.20%,27625,"4,000-4,499",Public,Semesters,Urban,8000,55.8724,-4.29,www.gla.ac.uk
University of Bristol,South West England,1909,113,Learning promotes one's innate power,11,92,82,5.5,15200,14800,14.90%,30.00%,24110,"3,000-3,499",Public,Semesters,Urban,7000,51.4584,-2.603,www.bris.ac.uk
University of Birmingham,West Midlands,1900,122,"Through hard work, great heights are achieved",12,105,82.6,5.5,13860,14850,12.70%,32.00%,31364,"4,000-4,499",Public,Continuous,Urban,9000,52.4508,-1.9305,www.bham.ac.uk
University of Sheffield,Yorkshire and the Humber,1905,117,To know the causes of things,13,110,79.9,5.5,14500,14500,21.50%,38.00%,27263,"3,000-3,499",Public,NA,Urban,7200,53.3814,-1.4884,www.sheffield.ac.uk
Queen Mary University of London,London,1989,33,With united power,14,117,79.9,5.5,13650,13950,23.30%,46.00%,19976,"3,000-3,499",Public,Semesters,Urban,9500,51.5241,-0.0404,www.qmw.ac.uk
Lancaster University,North West England,1964,58,Truth lies open to all,15,122,76.1,5.5,14940,14200,29.60%,37.00%,13510,"2,000-2,499",Public,Trimesters,Rural,8500,54.0104,-2.7877,www.lancs.ac.uk
University of Southampton,South East England,1952,70,The Heights Yield to Endeavour,16,124,80.9,5.5,14660,15160,36.00%,36.00%,21815,"2,500-2,999",Public,Semesters,Suburban,7200,50.9344,-1.3965,www.soton.ac.uk
University of Leeds,Yorkshire and the Humber,1904,118,And Knowledge Will Be Increased,17,127,81.6,5.5,13500,14000,32.00%,32.00%,33318,"3,500-3,999",Public,Semesters,Urban,7000,53.8067,-1.555,www.leeds.ac.uk
University of Nottingham,East Midlands,1948,74,A city is built on wisdom,18,141,80.4,5.5,14140,14420,30.00%,30.00%,31360,"3,000-3,499",Public,Semesters,Suburban,9840,52.9388,-1.1981,www.nottingham.ac.uk
University of Exeter,South West England,1955,67,We follow the light,19,143,77.4,5.5,15500,15500,21.20%,28.00%,22740,"2,500-2,999",Public,Semesters,Suburban,8400,50.7371,-3.5351,www.exeter.ac.uk
